# different temperature profiles
# (1) AFGL atmospheric constituent profile. U.S. standard atmosphere 1976. ( AFGL-TR-86-0110) 
# (2) AFGL atmospheric constituent profile. tropical. ( AFGL-TR-86-0110)
# (3) AFGL atmospheric constituent profile. midlatitude summer. ( AFGL-TR-86-0110) 
# (4) AFGL atmospheric constituent profile. midlatitude winter. ( AFGL-TR-86-0110)
# (5) AFGL atmospheric constituent profile. subarctic summer. ( AFGL-TR-86-0110) 
# (6) AFGL atmospheric constituent profile. subarctic winter. ( AFGL-TR-86-0110)
#
#             (1) us stand  (2) tropic    (3) MS      (4) MW      (5) SS      (6) SW
#     z(km)      T(K)         T(K)          T(K)       T(K)        T(K)        T(K) 
    120.000     360.000      380.000     380.000     333.000     380.000     333.000 
    115.000     300.000      299.700     316.800     293.000     322.700     288.500 
    110.000     240.000      241.600     262.400     259.500     270.100     252.600 
    105.000     208.800      212.000     222.200     237.100     226.000     234.000 
    100.000     195.100      190.700     190.500     218.600     190.400     218.500 
     95.000     188.400      184.300     178.300     208.300     176.800     211.000 
     90.000     186.900      177.000     165.000     199.500     161.600     202.300 
     85.000     188.900      177.100     165.100     199.800     161.700     213.100 
     80.000     198.600      184.800     174.100     210.100     170.600     223.900 
     75.000     208.400      201.800     196.100     220.400     193.600     234.700 
     70.000     219.600      218.900     218.100     230.700     216.600     245.400 
     65.000     233.300      236.000     240.100     240.900     239.700     248.400 
     60.000     247.000      253.100     257.100     250.800     262.700     250.900 
     55.000     260.800      263.400     269.300     260.600     274.000     259.100 
     50.000     270.700      270.200     275.700     265.700     277.200     259.300 
     47.500     270.600      269.600     275.200     265.100     276.200     253.200 
     45.000     264.200      264.800     269.900     258.500     273.600     247.000 
     42.500     257.300      259.400     263.700     250.800     269.500     240.800 
     40.000     250.400      254.000     257.500     243.200     262.100     234.700 
     37.500     243.435      248.500     251.300     235.500     254.600     228.500 
     35.000     236.500      243.100     245.200     227.900     247.200     222.300 
     32.500     229.588      237.700     239.000     220.400     240.000     218.500 
     30.000     226.500      232.300     233.700     217.400     235.100     216.000 
     27.500     224.000      227.000     228.450     215.500     231.000     213.600 
     25.000     221.600      221.400     225.100     215.200     228.100     211.200 
     24.000     220.600      219.200     223.900     215.200     226.600     211.800 
     23.000     219.600      217.000     222.800     215.200     225.200     212.400 
     22.000     218.600      214.600     221.600     215.200     225.200     213.000 
     21.000     217.600      210.700     220.400     215.200     225.200     213.600 
     20.000     216.700      206.700     219.200     215.200     225.200     214.200 
     19.000     216.700      202.700     217.900     215.200     225.200     214.800 
     18.000     216.700      198.800     216.800     215.700     225.200     215.400 
     17.000     216.700      194.800     215.700     216.200     225.200     216.000 
     16.000     216.700      197.000     215.700     216.700     225.200     216.600 
     15.000     216.700      203.700     215.700     217.200     225.200     217.200 
     14.000     216.700      210.300     215.700     217.700     225.200     217.200 
     13.000     216.700      217.000     215.800     218.200     225.200     217.200 
     12.000     216.700      223.600     222.300     218.700     225.200     217.200 
     11.000     216.800      230.100     228.800     219.200     225.200     217.200 
     10.000     223.300      237.000     235.300     219.700     225.200     217.200 
      9.000     229.700      243.600     241.700     225.700     232.200     217.200 
      8.000     236.200      250.300     248.200     231.700     239.200     220.600 
      7.000     242.700      257.000     254.700     237.700     246.100     227.300 
      6.000     249.200      263.600     261.200     243.700     253.100     234.100 
      5.000     255.700      270.300     267.200     249.700     260.100     240.900 
      4.000     262.200      277.000     273.200     255.700     265.500     247.700 
      3.000     268.700      283.700     279.200     261.700     270.900     252.700 
      2.000     275.200      287.700     285.200     265.200     276.300     255.900 
      1.000     281.700      293.700     289.700     268.700     281.700     259.100 
      0.000     288.200      299.700     294.200     272.200     287.200     257.200 
